,geometry,type,description
1806,"LINESTRING (-106.679629207 36.3710614, -106.679346107 36.370969996, -106.678977802 36.370489299, -106.678949103 36.370168798, -106.679062307 36.369939893, -106.6796562 36.369367197, -106.679769203 36.368955098, -106.679882303 36.368794799, -106.681268901 36.368267596, -106.681664906 36.367946893, -106.681919403 36.367557496, -106.682315007 36.366664499, -106.682399601 36.3662294)",tributary,Tributary river flows upstream of USGS-08290000
1807,"LINESTRING (-106.640143603 36.385199897, -106.641445704 36.384146594, -106.641898602 36.3838946, -106.643569 36.383756898, -106.645154402 36.383321598, -106.648353204 36.381924398, -106.650702201 36.379817598, -106.651353203 36.379313797, -106.652174205 36.379221998, -106.652542107 36.379038796, -106.652740203 36.378718197, -106.653107807 36.377870999, -106.653419204 36.3775962, -106.653730504 36.377458699, -106.654240102 36.377481498, -106.655174606 36.378168099, -106.655740805 36.378190793, -106.658769503 36.377067998, -106.659958206 36.376357898, -106.661005504 36.376105793, -106.665081806 36.375898197, -106.666015901 36.375645995, -106.667091601 36.375622697, -106.667799301 36.375462197, -106.668450207 36.375187196, -106.669780806 36.375163697, -106.6702336 36.375026196, -106.670544803 36.374636896, -106.670487501 36.373606697, -106.670600705 36.373515196, -106.671336606 36.373468995, -106.671563104 36.373400196, -106.672355302 36.372758895, -106.672440104 36.372575693, -106.672354504 36.371682897, -106.6724675 36.371202096, -106.672919907 36.370469399, -106.6736838 36.369782098, -106.673994802 36.369072296, -106.674447402 36.368659995, -106.674956702 36.368362196, -106.677248903 36.367605694, -106.677645005 36.367330797, -106.677956104 36.366849698, -106.678578705 36.366689198, -106.678833306 36.3664831, -106.679285906 36.366345398, -106.680475004 36.366596699, -106.681097701 36.366573498, -106.682399601 36.3662294)",tributary,Tributary river flows upstream of USGS-08290000
1808,"LINESTRING (-106.7060626 36.339521296, -106.705440104 36.339498997, -106.704534203 36.339178994, -106.703033902 36.338516094, -106.701703705 36.338288099, -106.701080807 36.337830596, -106.700712703 36.337670594, -106.699750707 36.337648399, -106.699298002 36.337534197, -106.698759802 36.336962193, -106.698137201 36.336848095, -106.697429501 36.336550996, -106.697061606 36.336482599, -106.696100004 36.336849496, -106.695251204 36.336918697, -106.694402106 36.3367818, -106.693354905 36.336324595, -106.692505807 36.336073294, -106.6915721 36.336027995, -106.690921307 36.336142898, -106.689251803 36.335869096, -106.688601002 36.3358237, -106.688261501 36.335915498, -106.687724307 36.336373597, -106.687271602 36.336442597, -106.6869037 36.336328395, -106.6867055 36.336099394, -106.686733603 36.335962094, -106.686507106 36.335687496)",tributary,Tributary river flows upstream of USGS-08290000
1809,"LINESTRING (-106.6939997 36.329753794, -106.693915002 36.329936996, -106.692585602 36.330395699, -106.692359202 36.330327198, -106.692245901 36.330189899, -106.691821605 36.330304593, -106.691482402 36.330556594, -106.691454403 36.330968693, -106.691567801 36.331151798, -106.691568203 36.331540994, -106.690352507 36.332640499, -106.689814903 36.332732394, -106.689532302 36.333053097, -106.688909903 36.333168, -106.688825205 36.333328299, -106.688797407 36.333854795, -106.6885712 36.3340839, -106.6873831 36.334473699, -106.686676405 36.335183799, -106.686507106 36.335687496)",tributary,Tributary river flows upstream of USGS-08290000
1810,"LINESTRING (-106.690631002 36.391911, -106.690461107 36.391865395, -106.690291002 36.391590796, -106.690516502 36.390423097, -106.690486602 36.3886832, -106.690061204 36.387905098, -106.689692907 36.387584798, -106.688899703 36.387196094, -106.687682003 36.386990793, -106.687398702 36.386716299, -106.687114201 36.384976499, -106.686830603 36.384450093, -106.686377302 36.384061098, -106.684819706 36.3835584, -106.683460206 36.382986799, -106.683063604 36.382666498, -106.682864904 36.382071294, -106.683118001 36.379758999, -106.683286302 36.377812997, -106.682917006 36.376393795, -106.682520106 36.3756615, -106.682463303 36.375272296, -106.682293206 36.375020593, -106.682094507 36.374333799, -106.681952104 36.373280793, -106.681697004 36.372937493, -106.681045607 36.3723884, -106.680564307 36.3722056, -106.680082805 36.371908195, -106.679742604 36.371381894, -106.679629207 36.3710614)",tributary,Tributary river flows upstream of USGS-08290000
1811,"LINESTRING (-106.690724105 36.369338296, -106.685092002 36.370371699, -106.684243105 36.370761298, -106.681384303 36.371060394, -106.679629207 36.3710614)",tributary,Tributary river flows upstream of USGS-08290000
1812,"LINESTRING (-106.6498859 36.392706893, -106.648413606 36.392707296, -106.647366002 36.392890595, -106.644081704 36.393990196, -106.642807603 36.394288093, -106.638248704 36.3947009, -106.637257606 36.394701093, -106.634624206 36.394266494, -106.633633107 36.393831596, -106.633208305 36.393442497, -106.633123301 36.393236496, -106.633179806 36.392938897, -106.634057604 36.392457999, -106.634369001 36.392160393, -106.634567104 36.391519397, -106.635189906 36.390832499, -106.636152506 36.390351497, -106.636633806 36.389985196, -106.637114905 36.3889549, -106.637681104 36.388542794, -106.639153302 36.387947299, -106.639379703 36.387718394, -106.639549501 36.387351997, -106.639719106 36.386252999, -106.640143603 36.385199897)",tributary,Tributary river flows upstream of USGS-08290000
1813,"LINESTRING (-106.6457159 36.368120193, -106.644527301 36.369448297, -106.643819906 36.370089494, -106.642857604 36.370707795, -106.641583905 36.371371895, -106.640367001 36.372562595, -106.639517903 36.373043597, -106.637678005 36.373616196, -106.634960502 36.375012994, -106.633998103 36.375631295, -106.633630104 36.3759977, -106.6334887 36.376364, -106.6336869 36.376844697, -106.63414 36.3772339, -106.635668807 36.378057696, -106.636688203 36.379133597, -106.636745207 36.381033793, -106.636943504 36.381422997, -106.637566507 36.382201195, -106.638161205 36.382773496, -106.638387702 36.383139797, -106.638444506 36.383620396, -106.639039107 36.384238593, -106.639180802 36.384696394, -106.639520705 36.385085493, -106.640143603 36.385199897)",tributary,Tributary river flows upstream of USGS-08290000
1814,"LINESTRING (-106.700964205 36.3059403, -106.700399302 36.306627497, -106.698534206 36.308437295, -106.697461501 36.310567096, -106.696981803 36.311849393, -106.696728401 36.313085698, -106.695457302 36.3150554, -106.695288204 36.3156965, -106.695289105 36.316703796, -106.695431001 36.317207396, -106.695855804 36.317756593, -106.696479201 36.318969496, -106.696650103 36.320182793, -106.696566001 36.320938393, -106.696312107 36.321716793, -106.696227901 36.322426595, -106.695917107 36.322815999, -106.695946403 36.324029297, -106.695833601 36.324372798, -106.695975401 36.324693196, -106.695975907 36.325265594, -106.695241004 36.325975694, -106.695128202 36.326364897, -106.695072904 36.327761494, -106.694677502 36.328379899, -106.693970606 36.328860998, -106.6937728 36.329135798, -106.6939997 36.329753794)",tributary,Tributary river flows upstream of USGS-08290000
1815,"LINESTRING (-106.719361804 36.316755295, -106.718767904 36.316870198, -106.717806704 36.3173519, -106.716675602 36.317718998, -106.715347104 36.318498395, -106.714131206 36.318934299, -106.712915003 36.319118395, -106.7125194 36.3195308, -106.712067902 36.320401095, -106.711700402 36.320675999, -106.709946901 36.321066596, -106.709607601 36.321226999, -106.708872803 36.321914293, -106.708647005 36.322372399, -106.708477907 36.323013596, -106.707320102 36.324960299, -106.706528701 36.325647697, -106.705623902 36.326037496, -106.704690605 36.3263129, -106.703418307 36.327092096, -106.701890901 36.327436596, -106.701268703 36.327665798, -106.700759403 36.327643298, -106.699967206 36.327506498, -106.699146703 36.327552795, -106.698779203 36.327736095, -106.698383301 36.328079894, -106.697704606 36.328355096, -106.697110504 36.328355394, -106.696487904 36.328218497, -106.6960354 36.328310296, -106.695809402 36.328653894, -106.695102602 36.329318196, -106.694367304 36.329524696, -106.694197603 36.329684995, -106.6939997 36.329753794)",tributary,Tributary river flows upstream of USGS-08290000
1816,"LINESTRING (-106.691653803 36.395573296, -106.691652901 36.394657597, -106.691567905 36.394520298, -106.690434203 36.393467896, -106.690292403 36.3931932, -106.690603204 36.392529197, -106.690631002 36.391911)",tributary,Tributary river flows upstream of USGS-08290000
1817,"LINESTRING (-106.715632506 36.391572997, -106.714613706 36.392031595, -106.712632507 36.3925597, -106.710991003 36.393293597, -106.710141703 36.393408693, -106.709490404 36.393386297, -106.708357506 36.393112399, -106.707734607 36.393158793, -106.706743903 36.393434197, -106.706149302 36.393480293, -106.705214605 36.393297896, -106.704506807 36.393321298, -106.703770407 36.393161595, -106.702808 36.393436998, -106.701760404 36.393460594, -106.700315803 36.393026695, -106.696040004 36.392754793, -106.695303701 36.392617799, -106.694198906 36.3921149, -106.693434305 36.392023794, -106.690631002 36.391911)",tributary,Tributary river flows upstream of USGS-08290000
1818,"LINESTRING (-106.691346303 36.368788496, -106.691091903 36.3690634, -106.690752402 36.369246699, -106.690724105 36.369338296)",tributary,Tributary river flows upstream of USGS-08290000
1819,"LINESTRING (-106.692761503 36.368558697, -106.692648701 36.368970796, -106.692422502 36.369268693, -106.691941507 36.369543694, -106.691601902 36.369612597, -106.690752506 36.369429894, -106.690724105 36.369338296)",tributary,Tributary river flows upstream of USGS-08290000
1820,"LINESTRING (-106.737913705 36.294257693, -106.737292506 36.294922195, -106.736615807 36.296204798, -106.735826604 36.298105694, -106.734613806 36.300441898, -106.734163702 36.302159399, -106.733093701 36.305479899, -106.732557401 36.306258693, -106.730637006 36.308412395, -106.730298504 36.309030794, -106.729339704 36.311252393, -106.729454301 36.312282495, -106.729624502 36.312694497, -106.729597107 36.313312493, -106.729371801 36.314045295, -106.729033001 36.314526297, -106.728637204 36.314663999, -106.7281285 36.314985, -106.726602703 36.316245496, -106.725471906 36.316841699, -106.723775506 36.317484096, -106.721315101 36.318012893, -106.720551506 36.318105094, -106.720070407 36.317967996, -106.719758905 36.317670695, -106.7195317 36.316961199, -106.719361804 36.316755295)",tributary,Tributary river flows upstream of USGS-08290000
1821,"LINESTRING (-106.723839305 36.300955199, -106.722737603 36.302077994, -106.722596802 36.302490197, -106.7227704 36.305557698, -106.723140202 36.307320096, -106.723112501 36.307777993, -106.722237401 36.309060797, -106.721305206 36.310068794, -106.721023604 36.311030693, -106.7213355 36.311648495, -106.721308105 36.312358193, -106.720997803 36.313022397, -106.720065907 36.314282298, -106.719755702 36.314969294, -106.719785005 36.315839194, -106.719361804 36.316755295)",tributary,Tributary river flows upstream of USGS-08290000
1822,"LINESTRING (-106.6924766 36.397312693, -106.692136601 36.397175498, -106.692108102 36.397038199, -106.692023203 36.397015296, -106.692023002 36.396855094, -106.691484302 36.396145798, -106.691455603 36.395710796, -106.691653803 36.395573296)",tributary,Tributary river flows upstream of USGS-08290000
1823,"LINESTRING (-106.6924766 36.397312693, -106.692532502 36.396625794, -106.692362301 36.396190993, -106.691653803 36.395573296)",tributary,Tributary river flows upstream of USGS-08290000
1824,"LINESTRING (-106.698605604 36.352850296, -106.697502404 36.353514895, -106.694503702 36.354752995, -106.693740003 36.355325796, -106.693485707 36.355692297, -106.693259701 36.356196098, -106.692948803 36.3565396, -106.690657102 36.357479595, -106.690204605 36.357869096, -106.689922102 36.358487397, -106.689950801 36.358876593, -106.690404005 36.3594715, -106.690150604 36.360959694, -106.6903494 36.361646295, -106.690661207 36.362195596, -106.690633304 36.362653598, -106.690153204 36.363798395, -106.690181807 36.3641418, -106.690606907 36.364782594, -106.690720901 36.365652598, -106.6908627 36.365881398, -106.690721601 36.366362199, -106.690778501 36.366636895, -106.691061802 36.3670488, -106.691062205 36.367598198, -106.691373907 36.367895596, -106.691346303 36.368788496)",tributary,Tributary river flows upstream of USGS-08290000
1825,"LINESTRING (-106.691346303 36.368788496, -106.692761503 36.368558697)",tributary,Tributary river flows upstream of USGS-08290000
1826,"LINESTRING (-106.713625506 36.370558798, -106.713201001 36.370581999, -106.712209903 36.370353796, -106.7109363 36.370308995, -106.710313402 36.370194994, -106.710001603 36.3699205, -106.709689304 36.369142495, -106.709292606 36.368707798, -106.709066004 36.368570596, -106.708669603 36.368547998, -106.708358504 36.3686627, -106.708047502 36.369029194, -106.707736105 36.369098097, -106.705754705 36.369099595, -106.705216706 36.368893899, -106.7043951 36.368299194, -106.7038287 36.368116498, -106.703404106 36.368071094, -106.703036301 36.368162796, -106.702470407 36.368437894, -106.701734602 36.368507199, -106.699299805 36.368096694, -106.698535606 36.368074298, -106.697460301 36.368486993, -106.696837701 36.368601896, -106.696243204 36.368602298, -106.695167206 36.368213795, -106.694063 36.367916897, -106.693355404 36.367985994, -106.692874402 36.368283898, -106.692761503 36.368558697)",tributary,Tributary river flows upstream of USGS-08290000
1827,"LINESTRING (-106.737592205 36.286955096, -106.737366401 36.287252896, -106.737254605 36.288168699, -106.736436203 36.2892913, -106.7339506 36.291376799, -106.733018905 36.292453699, -106.729520105 36.298134394, -106.7275993 36.2998989, -106.727034204 36.300242797, -106.726157807 36.300563999, -106.723839305 36.300955199)",tributary,Tributary river flows upstream of USGS-08290000
1828,"LINESTRING (-106.728711702 36.285726994, -106.727300406 36.287605397, -106.725748107 36.289987698, -106.725523002 36.290812097, -106.725411706 36.2922315, -106.724622704 36.294338398, -106.724369407 36.295323096, -106.723921306 36.2988033, -106.723808303 36.298963495, -106.723839305 36.300955199)",tributary,Tributary river flows upstream of USGS-08290000
1829,"LINESTRING (-106.6964489 36.405506, -106.696335107 36.405093797, -106.696164906 36.404796399, -106.695512906 36.404087096, -106.695314303 36.4036294, -106.695285603 36.403240293, -106.695086904 36.402805395, -106.693669401 36.401180893, -106.693697207 36.400654294, -106.693639003 36.399006099, -106.693468906 36.398685694, -106.692703605 36.397976495, -106.692561701 36.397518598, -106.692476802 36.397495799, -106.6924766 36.397312693)",tributary,Tributary river flows upstream of USGS-08290000
1830,"LINESTRING (-106.736099407 36.330544896, -106.735703006 36.3302477, -106.734797202 36.329973795, -106.733240902 36.329815097, -106.732392207 36.329861596, -106.731260903 36.330160297, -106.729960203 36.330619395, -106.729055606 36.331284098, -106.728293404 36.332406595, -106.727814101 36.333688997, -106.727788106 36.335428894, -106.727336407 36.336253494, -106.723719604 36.340011097, -106.7221651 36.341385894, -106.722081102 36.3420958, -106.721346803 36.343172394, -106.721290901 36.343698993, -106.720726401 36.344775394, -106.720585406 36.345256194, -106.720756903 36.346515298, -106.721182406 36.347338997, -106.721154802 36.348025896, -106.720507301 36.350659095, -106.720027305 36.351506494, -106.719659902 36.351895995, -106.719688706 36.352285296, -106.720085807 36.353017397, -106.720171705 36.353795797, -106.720030606 36.354139194, -106.719634905 36.354551695, -106.718249202 36.355331093, -106.7178251 36.355720699, -106.7173732 36.356476597, -106.716270201 36.357118398, -106.716016002 36.357622296, -106.715903401 36.358080193, -106.7159044 36.358950198, -106.715424001 36.359591596, -106.715367801 36.359934993, -106.715452902 36.3600723, -106.715425007 36.360415697, -106.714887902 36.360942595, -106.714746706 36.361240298, -106.714691006 36.362018898, -106.714013003 36.363026693, -106.714554206 36.365864895, -106.714809507 36.366345495, -106.714810304 36.367009394, -106.714415304 36.368062794, -106.714049004 36.369596899, -106.713625506 36.370558798)",tributary,Tributary river flows upstream of USGS-08290000
1831,"LINESTRING (-106.714984305 36.370603494, -106.714701205 36.370512195, -106.713625506 36.370558798)",tributary,Tributary river flows upstream of USGS-08290000
1832,"LINESTRING (-106.698212005 36.412899196, -106.696823604 36.412236199, -106.696625106 36.412030198, -106.696596302 36.411572494, -106.696794204 36.411160193, -106.697020702 36.411068499, -106.697983705 36.411113694, -106.698238403 36.410976194, -106.698323101 36.4106327, -106.698605902 36.410311997, -106.698576704 36.4093505, -106.697981 36.408389397, -106.697640002 36.407267898, -106.6974416 36.407038994, -106.696818203 36.406741895, -106.696619704 36.406558894, -106.6964489 36.405506)",tributary,Tributary river flows upstream of USGS-08290000
1833,"LINESTRING (-106.7084755 36.397324696, -106.704965003 36.398128495, -106.704200901 36.398472399, -106.703153901 36.399137095, -106.702135004 36.3995957, -106.700776204 36.400008693, -106.698681705 36.401085995, -106.697804503 36.401773393, -106.697606705 36.402185597, -106.697607502 36.403009795, -106.698061205 36.403696299, -106.698175006 36.404176995, -106.6981472 36.404726394, -106.697921 36.405001298, -106.697269902 36.405345097, -106.6964489 36.405506)",tributary,Tributary river flows upstream of USGS-08290000
1834,"LINESTRING (-106.7168248 36.370945297, -106.715409003 36.370603099, -106.714984305 36.370603494)",tributary,Tributary river flows upstream of USGS-08290000
1835,"LINESTRING (-106.7168248 36.370945297, -106.7163155 36.371128999, -106.7155229 36.371221095, -106.715041503 36.370992593, -106.714984305 36.370603494)",tributary,Tributary river flows upstream of USGS-08290000
1836,"LINESTRING (-106.660521202 36.4252121, -106.662447207 36.424799293, -106.663381703 36.424249597, -106.6648257 36.423195899, -106.665335402 36.423012495, -106.667714901 36.422828399, -106.668281205 36.4226221, -106.669866703 36.421476893, -106.670518003 36.421133094, -106.671905704 36.420720495, -106.674453907 36.419299893, -106.675133705 36.419116497, -106.6760967 36.419115998, -106.676833205 36.419207193, -106.679071501 36.419938698, -106.680091307 36.420052595, -106.681479305 36.420074798, -106.682781905 36.419890895, -106.6840562 36.419363596, -106.685443804 36.419133894, -106.687171206 36.418606497, -106.687879302 36.418537296, -106.689267606 36.418925799, -106.690457202 36.418947898, -106.6922132 36.418786496, -106.693006501 36.418969095, -106.693601407 36.4189917, -106.693969406 36.418854095, -106.694563702 36.418327197, -106.696347505 36.4176393, -106.697225004 36.417066395, -106.697819203 36.416470796, -106.697932303 36.416241795, -106.698072903 36.415188596, -106.698525406 36.414593093, -106.698496506 36.413997799, -106.698184207 36.413334198, -106.698212005 36.412899196)",tributary,Tributary river flows upstream of USGS-08290000
1837,"LINESTRING (-106.701815106 36.418642893, -106.701616704 36.418528497, -106.701219201 36.417658895, -106.701162204 36.417292699, -106.700480603 36.415438697, -106.699288704 36.413241893, -106.699005201 36.413013197, -106.698212005 36.412899196)",tributary,Tributary river flows upstream of USGS-08290000
1838,"LINESTRING (-106.719800502 36.373827495, -106.719544202 36.372476898, -106.718948707 36.371676199, -106.7184387 36.371287495, -106.717928804 36.371058896, -106.7168248 36.370945297)",tributary,Tributary river flows upstream of USGS-08290000
1839,"LINESTRING (-106.7025242 36.419626795, -106.702297606 36.419581093, -106.701872103 36.419032, -106.701815106 36.418642893)",tributary,Tributary river flows upstream of USGS-08290000
1840,"LINESTRING (-106.7025242 36.419626795, -106.7027224 36.419489294, -106.702665202 36.418962799, -106.702410005 36.418779798, -106.701815106 36.418642893)",tributary,Tributary river flows upstream of USGS-08290000
1841,"LINESTRING (-106.737816103 36.381617494, -106.735862605 36.381596498, -106.735296205 36.381413899, -106.735041 36.381208099, -106.7341047 36.379698098, -106.733849503 36.379400797, -106.733226202 36.379080899, -106.732659906 36.379058495, -106.731811002 36.379265293, -106.7313575 36.378991097, -106.731329001 36.378807999, -106.731158905 36.378601998, -106.731016606 36.3780986, -106.730676003 36.377480693, -106.730052404 36.3768861, -106.7294292 36.376612, -106.728721403 36.376589693, -106.728155501 36.376796298, -106.727504507 36.376888297, -106.727193102 36.376842894, -106.726909705 36.376637094, -106.726796106 36.376408294, -106.726456203 36.376156799, -106.725719906 36.376019999, -106.725437 36.376088999, -106.724814802 36.376616098, -106.724220403 36.376685299, -106.7222379 36.3759773, -106.721105203 36.375703499, -106.7207653 36.375543594, -106.720311604 36.375017397, -106.7199146 36.374468297, -106.719800502 36.373827495)",tributary,Tributary river flows upstream of USGS-08290000
1842,"LINESTRING (-106.727720402 36.369173296, -106.727635905 36.3694252, -106.727240004 36.369768895, -106.726957701 36.370249897, -106.726137906 36.371120699, -106.725289501 36.371624999, -106.724950202 36.371923, -106.724696003 36.372426793, -106.724158801 36.372930899, -106.723621905 36.373572394, -106.723254003 36.373710096, -106.722546302 36.373710699, -106.721753404 36.373482496, -106.721074104 36.373551793, -106.7204234 36.373826995, -106.719800502 36.373827495)",tributary,Tributary river flows upstream of USGS-08290000
1843,"LINESTRING (-106.705079801 36.425370999, -106.704993002 36.423722796, -106.704794303 36.423333794, -106.704114102 36.423036695, -106.703887306 36.422853693, -106.703773305 36.422166996, -106.703517504 36.421320096, -106.702609502 36.419970095, -106.7025242 36.419626795)",tributary,Tributary river flows upstream of USGS-08290000
1844,"LINESTRING (-106.759243801 36.359577693, -106.758055307 36.359393395, -106.757602401 36.359507397, -106.756553501 36.360651195, -106.754059903 36.362571694, -106.753352001 36.362822793, -106.750610501 36.3632899, -106.749705106 36.363519795, -106.749422707 36.3639322, -106.749537006 36.364550196, -106.749057204 36.365397699, -106.748916306 36.365787096, -106.748916902 36.3661533, -106.749597207 36.366724893, -106.749597706 36.367068395, -106.749032505 36.367572598, -106.749004506 36.367801495, -106.748948805 36.368305199, -106.748298906 36.368992694, -106.748073205 36.369519494, -106.748046003 36.370183498, -106.747905105 36.370572798, -106.747905806 36.371099293, -106.748019405 36.371282294, -106.747991905 36.3717402, -106.747030906 36.372702599, -106.7468336 36.373183697, -106.7473737 36.374579594, -106.7474593 36.375014395, -106.747375205 36.375495195, -106.746725805 36.376549095, -106.746358201 36.3768242, -106.744915001 36.377214797, -106.744236901 36.377993897, -106.743841104 36.378314793, -106.743388407 36.378475495, -106.741718605 36.378774799, -106.741237603 36.378935598, -106.740813404 36.379233696, -106.740304105 36.379440196, -106.739624806 36.379555397, -106.739228904 36.3797618, -106.738437906 36.380952999, -106.737816103 36.381617494)",tributary,Tributary river flows upstream of USGS-08290000
1845,"LINESTRING (-106.744057804 36.390150197, -106.7436046 36.390036196, -106.743122503 36.389441498, -106.742781103 36.388411596, -106.7426375 36.387152694, -106.741503 36.385871798, -106.741275705 36.385322593, -106.740424104 36.383812599, -106.740140706 36.383606799, -106.739715703 36.383447096, -106.739036202 36.383424796, -106.737649307 36.383655094, -106.737536006 36.383609399, -106.737535402 36.383243196, -106.737817302 36.382418796, -106.737816103 36.381617494)",tributary,Tributary river flows upstream of USGS-08290000
1846,"LINESTRING (-106.733219706 36.354722798, -106.733163401 36.354974598, -106.732484907 36.355501793, -106.730987906 36.357632294, -106.730253503 36.358708896, -106.729999006 36.358869396, -106.729914404 36.359121293, -106.7298868 36.3596249, -106.729208805 36.360564195, -106.728445306 36.360976994, -106.728219301 36.361274794, -106.727879904 36.361481093, -106.726889603 36.361733794, -106.726578504 36.361940093, -106.726098105 36.362535797, -106.725703403 36.363634996, -106.725931101 36.364573397, -106.725734405 36.365672499, -106.725763701 36.366427898, -106.725905903 36.366885595, -106.726217605 36.367160097, -106.726954207 36.367640197, -106.727067702 36.3678004, -106.727153003 36.368189499, -106.727720402 36.369173296)",tributary,Tributary river flows upstream of USGS-08290000
1847,"LINESTRING (-106.743128404 36.356933594, -106.743157901 36.357711896, -106.741943605 36.359498799, -106.741407402 36.360552497, -106.7400802 36.362499699, -106.739345804 36.3634848, -106.738469303 36.3641496, -106.737196505 36.364677399, -106.735584602 36.365731999, -106.735160306 36.365915596, -106.734735802 36.365961798, -106.7344243 36.365870498, -106.733773403 36.365939796, -106.733066507 36.366444096, -106.732642107 36.366581894, -106.732217506 36.3666052, -106.731424801 36.366468497, -106.730802201 36.366583593, -106.729360305 36.367729597, -106.727890305 36.369127296, -106.727720402 36.369173296)",tributary,Tributary river flows upstream of USGS-08290000
1848,"LINESTRING (-106.705024801 36.426813394, -106.705279604 36.4266987, -106.705392703 36.426492497, -106.705448702 36.426011793, -106.705278203 36.425485395, -106.705079801 36.425370999)",tributary,Tributary river flows upstream of USGS-08290000
1849,"LINESTRING (-106.705024801 36.426813394, -106.704798006 36.426721998, -106.704797007 36.425829098, -106.704881601 36.425485596, -106.705079801 36.425370999)",tributary,Tributary river flows upstream of USGS-08290000
1850,"LINESTRING (-106.773014501 36.369525194, -106.772844106 36.3699371, -106.771767005 36.3711496, -106.770350106 36.372407496, -106.769811504 36.373002298, -106.767545506 36.374030396, -106.7669788 36.374464899, -106.765166305 36.375012696, -106.764939606 36.3752186, -106.7639191 36.376293696, -106.762162201 36.377505295, -106.760858901 36.378305398, -106.760688603 36.378625698, -106.760829806 36.378854699, -106.760829404 36.379198194, -106.760206006 36.379586793, -106.759921201 36.3808228, -106.759694301 36.381051496, -106.758703105 36.381325297, -106.757740803 36.381164096, -106.7570896 36.381209299, -106.7567496 36.3813463, -106.7563527 36.381712295, -106.755417906 36.382123396, -106.753152005 36.382762194, -106.7526704 36.383059293, -106.752301201 36.383814499, -106.752300806 36.384089097, -106.7520454 36.384432293, -106.751535207 36.3848667, -106.751478307 36.385049693, -106.751788303 36.386011593, -106.751787402 36.386583798, -106.751447201 36.386926994, -106.751050405 36.387178399, -106.750593707 36.3873045, -106.749999203 36.387396693, -106.749291107 36.387191497, -106.748753205 36.387260698, -106.748045705 36.387513295, -106.747451805 36.387880199, -106.746717304 36.3888653, -106.745727606 36.389667593, -106.745105103 36.389897294, -106.744284101 36.389966793, -106.744057804 36.390150197)",tributary,Tributary river flows upstream of USGS-08290000
1851,"LINESTRING (-106.744483307 36.390538894, -106.744057804 36.390150197)",tributary,Tributary river flows upstream of USGS-08290000
1852,"LINESTRING (-106.752365202 36.341714494, -106.751254603 36.346314996, -106.7511409 36.346589595, -106.751139306 36.347665496, -106.750940405 36.348168895, -106.750586204 36.348569795, -106.749285907 36.349441096, -106.746627405 36.350474194, -106.745722502 36.350887194, -106.745016001 36.351483099, -106.744310901 36.3529948, -106.7436333 36.354071498, -106.7434927 36.354620993, -106.743438803 36.356338099, -106.743269704 36.356819093, -106.743128404 36.356933594)",tributary,Tributary river flows upstream of USGS-08290000
1853,"LINESTRING (-106.743484102 36.349035293, -106.742749706 36.349951595, -106.742751904 36.351393893, -106.742273301 36.353042699, -106.7422463 36.353935599, -106.742133401 36.354118794, -106.742107205 36.355400793, -106.742589906 36.356453396, -106.742731802 36.356705099, -106.743128404 36.356933594)",tributary,Tributary river flows upstream of USGS-08290000
1854,"LINESTRING (-106.705112107 36.428965196, -106.704998806 36.428919494, -106.705026902 36.428736396, -106.704884805 36.428347297, -106.705024801 36.426813394)",tributary,Tributary river flows upstream of USGS-08290000
1855,"LINESTRING (-106.7455329 36.391842693, -106.745589502 36.391796894, -106.745503902 36.391407698, -106.745248407 36.390950195, -106.744936503 36.390698694, -106.744483307 36.390538894)",tributary,Tributary river flows upstream of USGS-08290000
1856,"LINESTRING (-106.7455329 36.391842693, -106.745164804 36.3918202, -106.744938001 36.391660199, -106.744540803 36.391111195, -106.744455405 36.3908595, -106.744483307 36.390538894)",tributary,Tributary river flows upstream of USGS-08290000
1857,"LINESTRING (-106.738881506 36.336975195, -106.739080802 36.3377534, -106.739393003 36.338416994, -106.740102001 36.339492194, -106.740782402 36.340269893, -106.740867704 36.340567499, -106.741179705 36.341047898, -106.742285006 36.342191398, -106.7427103 36.342809096, -106.742909007 36.3432438, -106.7430517 36.343953393, -106.743081704 36.345029294, -106.743422806 36.346082099, -106.743990503 36.347180299, -106.743992105 36.348187596, -106.743484102 36.349035293)",tributary,Tributary river flows upstream of USGS-08290000
1858,"LINESTRING (-106.705187 36.445402294, -106.704023503 36.443800598, -106.703994803 36.443388499, -106.704390705 36.4428389, -106.705778003 36.441784799, -106.705975801 36.441418298, -106.706003405 36.440754399, -106.705918007 36.440456897, -106.705265403 36.439541593, -106.704896301 36.438832298, -106.704867207 36.438168295, -106.704952002 36.437985197, -106.705405004 36.437572695, -106.706396006 36.437045395, -106.706763901 36.4367247, -106.707216002 36.435694195, -106.707356803 36.434892796, -106.7073557 36.433954194, -106.707242101 36.433679499, -106.707155906 36.432672396, -106.706900403 36.432260498, -106.706361502 36.431665696, -106.705624305 36.431162596, -106.705000505 36.430567697, -106.705112107 36.428965196)",tributary,Tributary river flows upstream of USGS-08290000
